Author,City,Institution,Keywords,coordinates
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Sipho Ngobeni,Pretoria,Council for Scientific and Industrial Research,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Hein Venter,Pretoria,University of Pretoria,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Ivan Burke,Pretoria,Council for Scientific and Industrial Research,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Lin Ding,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Jie Guan,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Wen-long Sun,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Atulya K. Nagar,Liverpool,Liverpool Hope University,[],POINT (-2.99168 53.4071991)
T. Robinson,Chennai,Madras Christian College,[],POINT (80.270186 13.0836939)
Susan Elias,Chennai,Sri Venkateswara College of Engineering,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Vanaja Gokul,Chennai,Sri Venkateswara College of Engineering,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Kamala Krithivasan,Chennai,Indian Institute of Technology Madras,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (-1.4702278 53.3806626)
Gexiang Zhang,Sichuan,Southwest Jiaotong University,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (102.4999999 30.5000001)
Yunyun Niu,Wuhan,Huazhong University of Science and Technology,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (114.2999353 30.5951051)
Jinbang Xu,Wuhan,Huazhong University of Science and Technology,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (114.2999353 30.5951051)
K.G. Subramanian,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014)
Rosni Abdullah,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014)
A.S. Prasanna Venkatesan,Chennai,B.S. Abdur Rahman University,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (80.270186 13.0836939)
D.G. Thomas,India,Madras Christian College,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (78.6677428 22.3511148)
T. Robinson,Liverpool,Madras Christian College,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (-2.99168 53.4071991)
Gexiang Zhang,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Fen Zhou,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Xiaoli Huang,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Jixiang Cheng,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (-1.4702278 53.3806626)
Florentin Ipate,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343)
Raluca Lefticaru,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343)
Kusum Deep,Roorkee,Indian Institute of Technology Roorkee,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']",POINT (77.8902124 29.8693496)
Jagdish Chand Bansal,Gwalior,ABV-Indian Institute of Information Technology and Management Gwalior,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']",POINT (78.1573628 26.2037247)
Musrrat Ali,Suwon,Sungkyunkwan University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (127.0287472 37.2633325)
Millie Pant,Saharanpur,Indian Institute of Technology Roorkee,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (77.5427464 29.9637438)
Atulya K. Nagar,Liverpool,Liverpool Hope University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (-2.99168 53.4071991)
Chang Wook Ahn,Suwon,Sungkyunkwan University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (127.0287472 37.2633325)
Gurvinder Singh Baicher,Gwent,University of Wales Newport,"['optimization', 'quadrature mirror filter bank', 'genetic algorithms', 'IIR filters', 'multirate filter bank', 'real-time implementation', 'pulse code modulation', 'polyphase decomposition']",POINT (-3.000007 51.6666717)
Basabdatta Sen Bhattacharya,Lincoln,(University of Lincoln,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-0.5404819 53.2293545)
Damien Coyle,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995)
Liam P. Maguire,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Antonio L. Bajuelos,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496)
Santiago Canales,Madrid,Universidad Pontifícia Comillas de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047)
Gregorio Hernández,Madrid,Universidad Politécnica de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047)
Mafalda Martins,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496)
Alton Y.K. Chua,Singapore,Nanyang Technological University,"['m-learning', 'software project management', 'motivation', 'gaming']",POINT (103.8194992 1.357107)
Radhika Shenoy Balkunje,Singapore,Nanyang Technological University,"['m-learning', 'software project management', 'motivation', 'gaming']",POINT (103.8194992 1.357107)
Doron Drusinsky,Monterey,Naval Postgraduate School,"['Hidden Markov Models', 'UML', 'statecharts', 'monitoring', 'patterns', 'hidden data']",POINT (-121.387742 36.2231079)
Wojciech Frączek,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Wojciech Mazurczyk,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Krzysztof Szczypiorski,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Jörg Keller,Hagen,FernUniversität in Hagen,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (7.473296 51.3582945)
Christoph W. Kessler,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135)
Rikard Hultén,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135)
Alexander Meduna,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443)
Petr Zemek,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443)
Efi Papatheocharous,Nicosia,University of Cyprus,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (14.397271 37.747452)
Andreas S. Andreou,Lemesos,Cyprus University of Technology,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (33.0332657 34.6852901)
Henna Suomi,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Kalevi Kilkki,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Heikki Hämmäinen,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[],POINT (-3.7035825 40.4167047)
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,[],POINT (2.1774322 41.3828939)
Juan I. Asensio-Pérez,Valladolid,Universidad de Valladolid,[],POINT (-4.728562 41.6521328)
Henriikka Vartiainen,Savonlinna,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Anu Liljeström,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Jorma Enkenberg,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Nikolaos Avouris,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179)
Nikoleta Yiannoutsou,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179)
Stefaan Ternier,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Roland Klemke,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Marco Kalz,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Patricia van Ulzen,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Raul Nieves,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Ernesto Arroyo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Andrea Rosales,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
María Blanca Ibáñez,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
David Maroto,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
José Jesús García Rueda,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Derick Leony,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Daniel Găină,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Kokichi Futatsugi,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Kazuhiro Ogata,Nomi,Japan Advanced Institute of Science and Technology,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Tarek F. Gharib,Jeddah,King Abdulaziz University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (39.1653612 21.5810088)
Nagwa Badr,Cairo,Ain Shams University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (31.2357257 30.0443879)
Shaimaa Haridy,Cairo,Ain Shams University,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (31.2357257 30.0443879)
Ajith Abraham,ashington,Machine Intelligence Research Labs (MIR Labs),"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (-1.57027 55.1832364)
David Griffiths,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Mark William Johnson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Kris Popat,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Paul Sharples,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Scott Wilson,Bolton,The University of Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Rob J.M. Hartog,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Adrie J.M. Beulens,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Johannes Tramper,Wageningen,Wageningen University,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Atif Latif,Kiel,Leibniz Information Center for Economics,[],POINT (10.135555 54.3227085)
Muhammad Tanvir Afzal,Islamabad,Mohammad Ali Jinnah University,[],POINT (73.0651511 33.6938118)
Hermann Maurer,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
María-Teresa Martín-Valdivia,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Arturo Montejo-Ráez,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Alfonso Ureña-López,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Mohammed Rushdi Saleh,Jaén,University of Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Josep Blat,Barcelona,Universitat Pompeu Fabra,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Hui Ma,Wellington,Victoria University of Wellington,[],POINT (174.7772114 -41.2887953)
Klaus-Dieter Schewe,Linz,Johannes Kepler University Linz,[],POINT (14.286198 48.3059078)
Bernhard Thalheim,Kiel,Christian Albrechts University Kiel,[],POINT (10.135555 54.3227085)
Qing Wang,Canberra,Australian National University,[],POINT (149.1012676 -35.2975906)
Juan M. Vara,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047)
Vasilios Andrikopoulos,Stuttgart,University of Stuttgart,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (9.1800132 48.7784485)
Michael P. Papazoglou,Tilburg,Tilburg University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (5.0886014 51.5562404)
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047)
Jorge Roa,Santa Fe,Universidad Tecnológica Nacional,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Pablo Villarreal,Santa Fe,Universidad Tecnológica Nacional,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Omar Chiotti,Santa Fe,INGAR-CONICET,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Jose Ignacio Fernández-Villamor,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Carlos Á. Iglesias,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Mercedes Garijo,Madrid,Universidad Politécnica de Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Ji Ma,Hagenberg,Software Competence Center Hagenberg,"['risk assessment', 'access control', 'RBAC', 'poset', 'security classification']",POINT (14.516935 48.3674201)
Ajantha Dahanayake,Riyadh,Prince Sultan University,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']",POINT (-15.931358244103087 17.9909945)
Bernhard Thalheim,Kiel,(Christian-Albrechts University of Kiel,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']",POINT (10.135555 54.3227085)
Valeria de Castro,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Juan Manuel Vara,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Esperanza Marcos,Madrid,Rey Juan Carlos University,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Hongming Cai,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Boyi Xu,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Fenglin Bu,Shanghai,Shanghai Jiao Tong University,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[],POINT (-3.7035825 40.4167047)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Frank Kappe,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
David Griol,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
José Manuel Molina,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
Araceli Sanchis de Miguel,Leganés,Carlos III University of Madrid,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
Zoraida Callejas,Granada,University of Granada,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.5995337 37.1734995)
Nathan Labhart,Zürich,University of Zurich,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489)
Béatrice S. Hasler,Herzliya,Interdisciplinary Center Herzliya,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (34.8469023 32.1656255)
Andy Zbinden,Zürich,SWITCH,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489)
Andreas Schmeil,Lugano,University of Lugano,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.9520281 46.0050102)
María Blanca Ibáñez,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
José Jesús Garcia Rueda,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Diego Morillo,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Carlos Delgado Kloos,Leganés,Universidad Carlos III de Madrid,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Pilar Sancho,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Javier Torrente,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Baltasar Fernández-Manjón,Madrid,Complutense University of Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Alok Mishra,Ankara,Atilim University,[],POINT (32.8540497 39.9207759)
Jürgen Münch,Helsinki,University of Helsinki,[],POINT (24.9427473 60.1674881)
Deepti Mishra,Ankara,Atilim University,[],POINT (32.8540497 39.9207759)
José Luis Hernández,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Aurora Vizcaíno,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Gabriela Aranda,Neuquen,National University of Comahue,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-69.832275 -38.3695057)
George M. Giaglis,Athens,Athens University of Economics and Business,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']",POINT (-83.376398 33.9597677)
Diomidis Spinellis,Athens,Athens University of Economics and Business,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']",POINT (-83.376398 33.9597677)
Ricardo Colomo-Palacios,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942)
Pedro Soto-Acosta,Murcia,Universidad de Murcia,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-1.1305431 37.9923795)
Francisco J. García-Peñalvo,Salamanca,Universidad de Salamanca,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-5.6640182 40.9651572)
Ángel García-Crespo,Leganes,Universidad Carlos III de Madrid,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942)
Luis Iribarne,University of Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-79.39775966248058 43.663461999999996)
Nicolas Padilla,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197)
Javier Criado,Almeria,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197)
