Author,City,Institution,Keywords,location,location_address
Mathias Ekstedt,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172),"Stockholm, Sverige"
Oscar Rebollo,Madrid,Ministry of Labour and Immigration,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Daniel Mellado,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Raimundas Matulevičius,Tartu,University of Tartu,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (26.72245 58.3801207),"Tartu, Eesti"
Haralambos Mouratidis,London,University of East London,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Nicolas Mayer,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768),"Luxembourg, Lëtzebuerg"
Eric Dubois,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768),"Luxembourg, Lëtzebuerg"
Patrick Heymans,Namur,University of Namur,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (4.8661892 50.4665284),"Namur, 5000;5001;5002;5003;5004;5020;5021;5022;5024;5100;5101, Namur, België / Belgique / Belgien"
Jezabel Molina-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785),"Tenerife, España"
Pino Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785),"Tenerife, España"
Cándido Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785),"Tenerife, España"
Abdelmadjid Bouabdallah,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497),"Compiègne, 60200, Hauts-de-France, France"
Yacine Challal,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497),"Compiègne, 60200, Hauts-de-France, France"
Maurizio Palesi,Enna,Kore University,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (14.2807473 37.5667573),"Enna, 94100, Sicilia, Italia"
Rafael Tornero,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065),"València, Comunitat Valenciana, España"
Juan Manuel Orduñna,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065),"València, Comunitat Valenciana, España"
Vincenzo Catania,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612),"Catania, 95121;95122;95123;95124;95125;95126;95127;95128;95129;95131, Sicilia, Italia"
Daniela Panno,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612),"Catania, 95121;95122;95123;95124;95125;95126;95127;95128;95129;95131, Sicilia, Italia"
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[],POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Feiyu Lin,Jönköping,Jönköping University,[],POINT (14.165719 57.7825634),"Jönköping, 551 86, Sverige"
Kurt Sandkuhl,Rostock,Rostock University,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (12.1400211 54.0886707),"Rostock, Mecklenburg-Vorpommern, Deutschland"
Bratislav Predic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301),"Ниш, 18101, Централна Србија, Србија"
Dragan Stojanovic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301),"Ниш, 18101, Централна Србија, Србија"
Xiaoping Che,Paris,Evry University,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']",POINT (2.3200410217200766 48.8588897),"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Robert Bucki,Bielsko-Biała,The College of Informatics and Management in Bielsko-Biała,[],POINT (19.0448936 49.822118),"Bielsko-Biała, województwo śląskie, Polska"
Petr Suchanek,Opava,Silesian University in Opava,[],POINT (17.9024174 49.9389004),"Opava, Moravskoslezsko, Česko"
Rafael Duque,Santander,University of Cantabria,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.8099719 43.4620412),"Santander, Cantabria, España"
Lars Bollen,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325),"Enschede, Nederland"
Anjo Anjewierden,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325),"Enschede, Nederland"
Crescencio Bravo,Ciudad Real,University of Castilla-La Mancha,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Jens Hellmers,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196),"Bremen, Freie Hansestadt Bremen, Deutschland"
Jörg Thomaschewski,Emden,University of Applied Sciences Emden/Leer,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (7.2058304 53.3670541),"Emden, Niedersachsen, Deutschland"
Eva-Maria Holt,Ratingen,(SEVEN PRINCIPLES,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (6.8493503 51.2973261),"Ratingen, Nordrhein-Westfalen, Deutschland"
Thomas Wriedt,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196),"Bremen, Freie Hansestadt Bremen, Deutschland"
Anton Kos,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268),"Ljubljana, Slovenija"
Saso Tomazic,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268),"Ljubljana, Slovenija"
Ester Martínez-Martín,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675),"Castelló / Castellón, Comunitat Valenciana, España"
M. Teresa Escrig,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675),"Castelló / Castellón, Comunitat Valenciana, España"
Angel P. del Pobil,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675),"Castelló / Castellón, Comunitat Valenciana, España"
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,[],POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,[],POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Miltiadis D. Lytras,Gerakas,The American College of Greece,[],POINT (23.8560814 38.0120455),"Γέρακας, 15344, Δημοτική Ενότητα Γέρακα, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
Jordán Pascual Espada,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Oscar Sanjuán Martínez,Madrid,University Carlos III of Madrid,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
B. Cristina Pelayo G-Bustelo,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Juan Manuel Cueva Lovelle,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
David Griffiths,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Mark Johnson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Kris Popat,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Paul Sharples,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Scott Wilson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863),"Bolton, England, United Kingdom"
Ricardo Queirós,Porto,CRACS & INESC-Porto LA & DI-ESEIG/IPP,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512),"Porto, Portugal"
José Paulo Leal,Porto,University of Porto,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512),"Porto, Portugal"
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
María José Casany,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Enric Mayol,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Jordi Piguillem,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Nikolas Galanis,Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Francisco J. García-Peñalvo,Salamanca,(USAL Universidad de Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Anton Joha,London,EquaTerra,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Marijn Janssen,Delft,Delft University of Technology,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (4.362724538543995 51.999457199999995),"Delft, Nederland"
Ricardo Colomo-Palacios,Madrid,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Marc Sabbagh,Asnières sur Seine,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (2.2890454 48.9105948),"Asnières-sur-Seine, 92600, Île-de-France, France"
Miguel García Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Jose María Alvarez Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Diego Berrueta Muñoz,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422),"Gijón / Xixón, Principado de Asturias, España"
Luis Polo Paredes,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422),"Gijón / Xixón, Principado de Asturias, España"
Jose Emilio Labra Gayo,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625),"Oviedo / Uviéu, Principado de Asturias, España"
Daniel Mellado,Madrid,Rey Juan Carlos University,[],POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[],POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Haralambos Mouratidis,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Christos Kalloniatis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355),"Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Shareeful Islam,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Marc-Philippe Huget,Annecy-Chambéry,University of Savoie,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (6.086008679698335 45.7806512),"Pôle Métropolitain Annecy-Chambéry, France"
Stefanos Gritzalis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355),"Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Pedro Martinez-Julia,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795),"Murcia, Región de Murcia, España"
Antonio F. Gómez-Skarmeta,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795),"Murcia, Región de Murcia, España"
Thijs Baars,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006),"Utrecht, Utrecht, Nederland"
Marco Spruit,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006),"Utrecht, Utrecht, Nederland"
Reijo M. Savola,Oulu,VTT Technical Research Centre of Finland,"['security metrics', 'risk analysis', 'agile SW development']",POINT (25.4716809 65.0118734),"Oulu, Manner-Suomi, Suomi"
Christian Frühwirth,Espoo,Aalto University,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.6568435 60.2047672),"Espoo, Manner-Suomi, Suomi"
Ari Pietikäinen,Kirkkonummi,Ericsson Finland,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.4406694 60.1227857),"Kirkkonummi, Manner-Suomi, Suomi"
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Luis Enrique Sánchez,Ciudad Real,SICAMAN NT.,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Alberto Freitas,Porto,Universidade do Porto,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-8.6107884 41.1494512),"Porto, Portugal"
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Atulya K. Nagar,Liverpool,Liverpool Hope University,[],POINT (-2.99168 53.4071991),"Liverpool, England, United Kingdom"
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (-1.4702278 53.3806626),"Sheffield, England, United Kingdom"
K.G. Subramanian,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014),"Penango, Piemonte, Italia"
Rosni Abdullah,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014),"Penango, Piemonte, Italia"
T. Robinson,Liverpool,Madras Christian College,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (-2.99168 53.4071991),"Liverpool, England, United Kingdom"
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (-1.4702278 53.3806626),"Sheffield, England, United Kingdom"
Florentin Ipate,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343),"Pitești, România"
Raluca Lefticaru,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343),"Pitești, România"
Atulya K. Nagar,Liverpool,Liverpool Hope University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (-2.99168 53.4071991),"Liverpool, England, United Kingdom"
Gurvinder Singh Baicher,Gwent,University of Wales Newport,"['optimization', 'quadrature mirror filter bank', 'genetic algorithms', 'IIR filters', 'multirate filter bank', 'real-time implementation', 'pulse code modulation', 'polyphase decomposition']",POINT (-3.000007 51.6666717),"Gwent, NP44 2BZ, Cymru / Wales, United Kingdom"
Basabdatta Sen Bhattacharya,Lincoln,(University of Lincoln,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-0.5404819 53.2293545),"Lincoln, England, United Kingdom"
Damien Coyle,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995),"Ulster, United Kingdom"
Liam P. Maguire,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995),"Ulster, United Kingdom"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Antonio L. Bajuelos,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496),"Aveiro, Portugal"
Santiago Canales,Madrid,Universidad Pontifícia Comillas de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Gregorio Hernández,Madrid,Universidad Politécnica de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Mafalda Martins,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496),"Aveiro, Portugal"
Jörg Keller,Hagen,FernUniversität in Hagen,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (7.473296 51.3582945),"Hagen, Nordrhein-Westfalen, Deutschland"
Christoph W. Kessler,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135),"Linköping, 582 23, Sverige"
Rikard Hultén,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135),"Linköping, 582 23, Sverige"
Alexander Meduna,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443),"Brno, Jihovýchod, Česko"
Petr Zemek,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443),"Brno, Jihovýchod, Česko"
Efi Papatheocharous,Nicosia,University of Cyprus,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (14.397271 37.747452),"Nicosia, 94014, Sicilia, Italia"
Andreas S. Andreou,Lemesos,Cyprus University of Technology,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (33.0332657 34.6852901),"Λεμεσός, 3085, Δήμος Λεμεσού, Κύπρος, Κύπρος - Kıbrıs"
Henna Suomi,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672),"Espoo, Manner-Suomi, Suomi"
Kalevi Kilkki,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672),"Espoo, Manner-Suomi, Suomi"
Heikki Hämmäinen,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672),"Espoo, Manner-Suomi, Suomi"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[],POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,[],POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Juan I. Asensio-Pérez,Valladolid,Universidad de Valladolid,[],POINT (-4.728562 41.6521328),"Valladolid, Castilla y León, España"
Henriikka Vartiainen,Savonlinna,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933),"Savonlinna, Manner-Suomi, Suomi"
Anu Liljeström,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933),"Savonlinna, Manner-Suomi, Suomi"
Jorma Enkenberg,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933),"Savonlinna, Manner-Suomi, Suomi"
Nikolaos Avouris,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179),"Villers-Patras, 21400, Bourgogne-Franche-Comté, France"
Nikoleta Yiannoutsou,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179),"Villers-Patras, 21400, Bourgogne-Franche-Comté, France"
Stefaan Ternier,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Roland Klemke,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Marco Kalz,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Patricia van Ulzen,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Raul Nieves,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Ernesto Arroyo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
